Trip_Distance,Type_of_Cab,Customer_Since_Months,Life_Style_Index,Confidence_Life_Style_Index,Destination_Type,Customer_Rating,Cancellation_Last_1Month,Var1,Var2,Var3,Gender,__FeatEng_target__,__index_level_0__
17.61,C,8.0,2.83142,A,A,3.6975,2,74.0,50,68,Male,3,84
59.1,E,8.0,2.90231,A,A,3.17125,1,,49,76,Male,2,85
74.68,B,10.0,2.85202,C,A,3.07375,1,,49,66,Male,2,86
13.28,,5.0,2.67464,B,G,4.4775,0,,46,71,Male,2,87
106.8,C,9.0,3.49022,B,B,4.3625,0,,47,66,Female,3,88
100.62,D,8.0,2.98063,C,E,3.41625,1,83.0,49,80,Male,3,89
37.88,A,9.0,3.0732,A,C,3.62625,0,37.0,45,58,Male,3,92
36.66,C,10.0,2.70344,B,B,1.94875,0,,46,62,Male,3,93
50.61,C,8.0,2.66718,A,A,3.15375,0,43.0,52,78,Female,2,94
64.91,A,0.0,2.84002,A,A,2.915,0,54.0,49,74,Male,2,95
70.92,B,,2.72473,B,A,1.34,0,,55,79,Male,2,98
45.43,B,6.0,2.61356,A,D,3.86125,0,,42,54,Male,2,99
20.24,E,10.0,2.34153,B,C,3.76625,3,42.0,48,87,Male,3,104
13.48,E,7.0,2.26124,A,A,3.215,0,,49,62,Male,3,108
31.91,A,2.0,2.57373,C,A,1.845,0,,51,74,Male,2,111
37.73,C,1.0,2.55056,C,A,2.97375,2,,49,67,Female,2,112
89.53,D,1.0,2.9328,B,B,3.24,2,,48,70,Male,3,116
49.26,E,3.0,3.12949,B,A,2.48625,2,,70,93,Male,1,117
15.7,C,,2.30978,B,G,4.3175,0,,54,86,Male,2,118
6.62,C,1.0,2.56172,B,J,1.83,3,47.0,51,75,Male,3,119
42.6,,4.0,3.0431,C,E,2.21125,0,42.0,55,82,Female,2,124
36.62,D,10.0,2.54401,B,C,3.6025,1,,45,60,Female,3,128
45.19,A,4.0,,,C,4.1275,5,,55,78,Male,1,129
8.59,C,2.0,2.68211,C,A,3.2325,1,51.0,47,81,Male,2,131
108.5,B,6.0,3.05078,B,A,4.04625,1,107.0,47,81,Female,2,132
78.33,D,7.0,2.82291,B,B,2.0375,0,39.0,53,67,Male,3,134
47.45,D,6.0,2.96438,C,A,4.72625,0,104.0,42,58,Male,3,135
54.1,D,10.0,2.70522,B,B,2.9625,0,,48,60,Male,3,138
32.91,D,10.0,2.50187,C,B,3.045,0,,45,58,Female,3,139
30.06,B,10.0,2.47692,B,A,2.76,0,,54,69,Male,2,141
106.36,E,6.0,3.16107,B,A,3.56875,3,106.0,52,101,Male,3,142
19.03,B,,2.677,A,A,4.215,5,59.0,44,62,Male,2,144
22.73,C,7.0,3.04457,B,B,4.93375,4,46.0,57,100,Male,2,145
32.6,B,3.0,3.36129,B,H,4.64125,1,35.0,52,83,Male,2,146
15.44,B,,2.29072,B,L,1.265,1,,53,73,Male,2,147
75.99,B,2.0,2.80363,B,A,2.48,0,83.0,54,74,Male,2,148
26.18,B,0.0,3.08009,C,B,3.55125,0,,52,92,Male,2,149
35.58,D,10.0,3.10665,C,A,2.35875,2,61.0,55,107,Male,3,151
72.64,A,0.0,2.74002,B,E,3.77,1,,54,76,Male,1,152
61.93,D,2.0,2.81219,C,A,2.78625,0,,47,68,Male,3,154
36.46,C,10.0,2.61019,A,A,2.02625,0,,60,77,Female,2,157
49.64,B,0.0,,,A,2.85,1,,57,84,Male,3,158
11.9,C,10.0,,,B,2.90875,1,54.0,50,91,Male,3,159
44.75,B,2.0,,,H,4.65125,0,,42,65,Female,2,161
31.8,E,10.0,2.41152,C,B,0.09125,1,,48,66,Male,3,164
56.43,A,1.0,2.73832,A,B,3.51625,0,110.0,45,62,Male,1,165
19.6,B,10.0,2.91966,A,B,3.89875,1,,48,81,Male,2,166
21.01,E,3.0,2.5293,A,A,3.805,2,,53,67,Male,3,167
47.2,E,3.0,2.95894,C,A,2.11625,0,,50,89,Male,3,170
30.24,,10.0,2.78125,C,B,1.125,1,,54,68,Male,2,173
73.4,B,5.0,3.19006,C,A,4.2875,0,80.0,50,76,Female,2,174
62.41,,8.0,2.77682,B,A,1.6225,0,,61,89,Female,1,175
19.39,B,2.0,2.85391,A,A,2.1575,0,52.0,49,74,Female,2,176
32.39,B,10.0,2.51463,C,A,2.27125,0,,52,71,Male,2,177
21.24,B,0.0,2.39169,B,A,3.69875,0,,46,56,Female,1,178
16.46,A,0.0,2.76139,A,A,3.52375,0,,57,76,Male,1,179
91.17,C,10.0,2.99856,B,A,2.44125,1,78.0,48,63,Male,2,180
29.59,,9.0,2.51394,A,B,1.74625,1,,51,76,Female,2,182
68.76,C,5.0,2.70726,B,B,1.3375,0,,51,70,Female,3,185
54.38,B,,2.90647,B,C,1.46625,2,,54,83,Male,2,187
26.72,B,4.0,2.68252,B,A,1.32625,1,,54,69,Female,2,188
26.53,,9.0,,,A,3.74125,2,66.0,53,88,Female,2,190
35.45,D,7.0,2.76724,C,A,3.23625,0,50.0,48,69,Female,2,191
95.64,D,10.0,2.81614,B,A,2.88625,0,,51,74,Male,3,192
18.5,,10.0,2.83758,B,A,2.92375,0,36.0,53,90,Male,2,193
19.27,,1.0,2.5007,A,A,4.22125,0,,49,66,Male,2,194
15.41,B,10.0,2.68403,A,A,3.30625,0,56.0,53,91,Male,2,195
24.52,D,10.0,2.38924,B,E,3.04375,2,87.0,44,70,Male,3,196
41.75,C,6.0,2.60231,B,B,2.49125,5,,58,77,Male,2,197
46.62,B,10.0,2.98602,C,A,1.9275,1,79.0,49,69,Male,2,198
47.34,C,10.0,2.82146,B,A,2.15,1,39.0,50,86,Female,3,199
59.44,D,1.0,2.9353,B,H,2.015,3,,51,77,Male,3,200
60.57,A,9.0,3.11275,B,A,2.805,2,41.0,58,86,Male,2,201
52.67,B,5.0,3.23652,C,H,3.84875,1,,51,80,Male,1,202
65.51,B,10.0,2.73633,C,B,2.4925,0,,47,76,Male,2,203
81.98,C,10.0,2.77291,B,A,1.5,0,107.0,54,83,Male,3,205
14.16,E,4.0,2.70067,A,A,3.66,1,85.0,51,86,Male,3,206
10.85,C,0.0,2.76023,C,A,3.57375,1,38.0,48,61,Male,2,207
14.83,B,,2.23517,B,B,3.53625,0,,48,66,Male,2,209
60.33,A,3.0,3.09995,C,A,2.39375,0,,51,79,Male,1,210
107.09,C,9.0,3.40518,B,A,3.435,0,,63,89,Male,1,211
77.56,A,9.0,3.17754,B,B,3.4075,3,50.0,48,83,Male,3,212
62.06,C,6.0,,,A,1.12,0,69.0,53,75,Female,2,213
12.85,C,8.0,,,B,2.66625,0,,47,61,Male,2,214
17.04,E,10.0,2.64963,B,B,3.97,3,38.0,50,76,Female,2,217
30.38,D,10.0,2.84472,A,B,2.31,1,47.0,49,79,Female,3,218
54.08,,9.0,2.93539,B,B,3.975,1,96.0,44,68,Female,2,221
102.26,B,10.0,,,A,3.90375,1,,45,74,Female,2,223
30.37,C,10.0,2.88655,C,A,3.74625,0,70.0,53,74,Male,2,224
106.44,D,2.0,3.3008,C,A,3.2325,1,45.0,58,78,Male,3,226
32.3,B,6.0,2.7765,A,A,1.975,1,,50,72,Female,2,228
28.31,B,2.0,2.4185,A,A,3.08625,0,,45,55,Male,2,229
5.85,C,4.0,3.01194,C,C,2.3725,0,,51,81,Male,2,230
90.86,A,5.0,3.14758,C,A,4.44,4,78.0,63,95,Male,3,232
47.52,D,10.0,2.95296,B,A,3.33875,1,68.0,51,74,Male,3,233
45.68,B,10.0,2.77866,A,C,2.0625,1,,50,84,Female,1,234
50.46,D,10.0,2.91523,C,A,1.59375,1,102.0,53,76,Female,2,235
54.65,E,10.0,2.78444,B,B,2.51,1,,62,77,Male,3,237
35.62,B,4.0,3.01139,B,B,1.77125,1,,49,83,Female,2,241
27.12,,10.0,2.96759,C,C,3.37125,2,,54,75,Male,2,242
31.0,,6.0,2.73613,A,B,2.18375,0,,59,79,Female,2,244
27.35,E,10.0,,,A,3.96625,1,52.0,47,69,Male,3,245
50.0,E,10.0,2.6137,C,A,2.48875,0,39.0,49,81,Female,3,246
26.34,A,2.0,2.28634,A,E,3.0575,0,,45,57,Male,1,248
24.84,B,5.0,,,A,3.68125,3,,54,78,Female,2,250
106.76,B,5.0,2.93082,B,C,4.25875,1,,47,67,Female,2,251
32.22,A,5.0,2.82166,A,A,3.85375,1,,49,71,Female,1,252
37.83,D,9.0,,,A,1.35125,0,,53,66,Female,3,254
64.63,C,4.0,3.47684,C,C,2.98625,1,54.0,51,68,Female,2,257
99.03,C,7.0,3.03626,B,A,1.91375,1,,60,85,Male,2,261
91.73,A,2.0,2.84445,B,C,2.9775,0,59.0,48,65,Female,3,262
28.16,,10.0,,,B,4.68,1,112.0,44,65,Male,2,263
36.97,E,3.0,,,A,1.3275,0,71.0,51,68,Male,3,264
74.64,D,7.0,2.99582,B,I,4.76125,1,33.0,50,75,Female,3,265
108.82,,4.0,3.17495,C,A,4.72125,0,,48,63,Male,2,266
16.33,D,10.0,2.59813,A,A,2.46125,2,69.0,49,63,Male,3,267
29.02,C,7.0,2.74232,A,A,2.3775,1,39.0,58,82,Male,2,269
6.83,C,4.0,2.35445,B,B,2.845,0,,44,61,Male,2,270
35.92,C,10.0,,,C,4.08625,1,109.0,54,77,Female,2,271
28.9,C,4.0,2.55009,C,A,2.40375,0,,49,77,Male,2,272
30.61,D,10.0,2.62024,A,D,1.24625,0,50.0,60,97,Male,3,273
62.11,C,0.0,3.14442,C,B,3.4375,1,,55,72,Male,1,274
35.49,B,,2.61023,B,B,3.46625,0,79.0,48,73,Male,2,278
12.24,B,10.0,,,D,2.1025,0,93.0,47,64,Male,2,280
37.07,C,1.0,2.60059,A,A,2.8525,0,49.0,53,65,Female,2,286
25.99,,0.0,2.41732,C,A,1.8875,0,,54,89,Male,3,293
92.82,D,10.0,,,A,0.9375,2,,49,67,Female,3,294
70.31,,7.0,2.66427,B,A,4.56625,0,,45,59,Male,1,297
62.98,B,7.0,2.97844,B,A,3.1725,0,37.0,58,73,Male,2,298
80.59,D,8.0,3.4983,A,B,3.42375,0,60.0,52,71,Male,3,299
90.8,D,7.0,3.53343,B,A,3.65625,2,104.0,55,74,Female,3,301
99.11,B,10.0,3.10531,C,A,3.27,2,,57,103,Male,2,302
85.85,,10.0,2.91985,C,A,3.98125,2,45.0,45,61,Male,3,303
53.08,B,3.0,2.6042,B,A,1.515,0,39.0,55,77,Male,2,304
30.97,,5.0,2.87709,A,B,3.07625,0,64.0,57,87,Male,1,306
87.5,C,4.0,3.05682,B,A,2.1675,1,43.0,56,84,Male,2,308
16.56,C,6.0,,,B,1.96125,0,,47,62,Male,2,309
108.83,A,9.0,2.95736,B,B,2.63625,0,43.0,51,65,Female,3,311
35.98,C,10.0,2.82945,B,A,3.86,0,37.0,49,65,Female,2,312
50.43,,2.0,3.30081,C,A,3.5475,0,,52,87,Male,1,314
25.95,B,10.0,2.83914,A,A,3.155,0,,51,70,Female,1,315
61.59,B,10.0,2.92774,C,A,1.02,0,110.0,50,90,Female,2,316
31.93,B,,2.76574,B,A,0.985,0,,48,71,Male,2,317
20.94,B,0.0,,,A,2.5175,1,62.0,48,80,Female,1,318
69.64,,10.0,2.73462,C,A,3.28625,0,,49,65,Male,3,319
14.6,A,5.0,2.90382,A,A,2.29,0,63.0,54,79,Female,1,320
29.56,D,5.0,2.74532,C,A,2.52625,1,,53,69,Male,3,322
49.52,B,10.0,2.96744,C,B,2.56625,0,,48,68,Male,2,323
29.62,,4.0,2.69299,A,F,3.49375,1,96.0,46,78,Female,3,324
30.61,A,0.0,2.3511,B,B,3.455,0,37.0,55,71,Male,1,329
31.55,,9.0,2.67708,A,A,1.8825,2,,47,64,Male,2,330
21.4,B,10.0,2.98931,B,A,3.4125,2,,54,79,Male,2,331
87.18,,5.0,2.86308,B,A,1.52,2,,57,85,Male,3,333
32.95,B,10.0,,,A,2.85,3,36.0,50,80,Male,2,334
55.62,C,7.0,,,A,2.48375,0,93.0,48,71,Male,2,335
60.62,C,5.0,2.91396,C,A,4.31,0,,47,63,Male,2,338
40.94,,1.0,2.55197,A,A,2.60875,0,,46,69,Female,2,339
25.35,C,0.0,2.59965,A,A,2.3975,2,,49,77,Male,3,340
30.14,D,,,,H,1.635,2,40.0,51,90,Female,3,342
61.11,B,10.0,2.66724,C,A,1.25375,0,,47,72,Male,3,343
31.24,D,10.0,3.02368,B,A,2.92375,4,,46,60,Female,3,344
14.37,B,4.0,2.65213,B,A,1.6375,0,,57,76,Male,2,345
66.07,B,10.0,3.18949,C,B,2.615,1,57.0,52,92,Male,2,346
29.37,D,10.0,2.77533,C,D,3.1375,0,,48,59,Male,3,348
63.02,E,10.0,,,B,2.49875,3,,47,70,Female,3,349
47.34,D,6.0,2.88211,C,D,2.31125,0,,53,91,Male,3,350
29.41,E,2.0,2.82689,A,D,1.59625,1,85.0,60,91,Male,2,353
62.6,A,10.0,3.13344,C,A,2.64875,0,,57,78,Female,1,354
8.72,A,3.0,2.78023,A,J,3.825,0,56.0,47,65,Male,1,358
60.9,,1.0,3.04522,B,B,2.4075,0,72.0,54,78,Female,2,359
54.34,E,10.0,2.92942,B,A,3.06375,1,90.0,48,71,Male,1,360
108.56,,10.0,3.27982,B,A,3.74375,0,,66,93,Male,3,363
87.65,,7.0,3.18187,C,A,1.55625,0,,56,95,Male,1,366
37.8,B,8.0,2.50652,C,A,1.395,0,91.0,50,68,Male,3,367
44.26,C,4.0,2.59963,B,A,1.31375,2,,50,68,Male,2,370
9.46,D,10.0,2.74121,A,C,1.95125,3,88.0,48,80,Male,3,371
40.79,C,10.0,2.6093,C,D,3.14,1,,49,71,Male,3,372
108.22,,10.0,2.9261,B,A,3.295,0,107.0,47,65,Female,3,373
29.06,B,10.0,2.97555,A,A,2.4575,0,38.0,62,95,Female,2,374
42.63,C,6.0,3.1373,B,D,4.8825,0,,49,72,Male,2,375
13.81,A,10.0,2.93749,C,A,4.23375,0,,44,63,Male,2,377
76.76,B,3.0,3.03613,C,B,1.13375,0,,54,78,Male,2,378
48.55,B,10.0,3.05619,B,A,3.76625,1,42.0,59,83,Male,2,379
19.76,C,6.0,2.57753,C,C,0.75125,0,52.0,55,79,Male,2,380
32.16,,8.0,2.67872,B,A,1.4775,1,,57,79,Male,3,381
78.08,A,5.0,2.73738,A,L,5.0,1,76.0,50,83,Male,2,383
62.72,C,8.0,2.64609,B,B,3.92375,1,104.0,48,68,Male,3,384
16.46,,10.0,2.80102,A,A,3.24,0,,46,61,Male,1,385
49.48,C,3.0,2.54326,B,A,3.8725,1,70.0,59,86,Male,2,388
35.94,B,3.0,2.92872,C,B,2.4,1,93.0,58,93,Male,2,389
52.8,E,2.0,2.70708,C,B,3.16125,1,,45,57,Male,2,392
45.85,B,10.0,,,B,0.675,0,,53,86,Male,2,394
34.75,A,6.0,3.07574,A,C,2.9175,0,,47,71,Male,1,395
63.01,B,5.0,2.67514,B,A,1.73125,0,,50,77,Male,2,396
14.57,B,2.0,2.95588,B,A,3.46125,0,,48,72,Male,2,399
50.32,,7.0,2.91424,C,A,1.7175,0,71.0,52,106,Male,1,400
34.03,C,8.0,2.69309,B,A,2.02125,1,57.0,52,83,Female,3,403
37.61,A,10.0,,,A,4.85,0,51.0,48,67,Male,1,404
44.7,A,10.0,2.95668,C,B,2.53,0,52.0,49,67,Male,1,409
37.32,E,6.0,2.62957,B,B,2.535,3,64.0,54,83,Male,3,411
37.16,D,10.0,3.12876,B,F,3.76125,0,,49,81,Male,1,413
21.45,D,3.0,2.34475,C,A,3.45875,0,62.0,49,73,Female,3,415
34.85,C,1.0,2.95192,A,A,2.76125,0,,48,65,Male,2,417
36.38,B,10.0,2.61893,B,A,3.82875,1,,51,63,Male,3,418
54.18,C,10.0,,,A,1.65875,0,,46,66,Female,2,419
76.27,C,10.0,2.95359,B,A,2.18375,1,,58,92,Female,2,421
31.64,,10.0,2.69374,A,A,3.17875,0,,53,70,Male,2,423
32.42,D,7.0,2.81915,A,A,4.68125,0,62.0,45,71,Female,2,424
37.27,C,1.0,2.79687,C,A,3.36875,2,,52,67,Male,2,425
96.96,D,3.0,2.85248,B,A,1.765,0,,50,66,Male,3,427
17.45,B,10.0,2.69497,C,A,3.43625,3,75.0,52,96,Male,1,429
39.1,,1.0,2.95438,C,A,2.56125,1,,43,61,Female,3,433
107.33,A,6.0,2.88747,B,C,3.50375,2,,49,62,Male,3,434
31.39,A,,,,A,2.4,0,,48,65,Male,1,436
93.53,D,5.0,2.90402,B,C,0.83,0,,58,100,Male,3,437
83.55,B,10.0,2.80562,C,A,2.93375,0,,54,88,Female,1,438
78.66,A,10.0,2.77722,C,B,3.22,2,87.0,53,70,Male,3,440
17.28,B,3.0,2.81533,A,B,3.5875,2,77.0,52,77,Male,2,441
15.65,,2.0,2.46931,C,H,1.235,1,,47,70,Male,3,442
60.91,E,10.0,3.09645,C,A,3.86375,4,43.0,50,71,Male,3,444
54.17,D,2.0,2.60269,B,A,2.73625,1,,44,65,Female,3,445
17.48,E,10.0,2.75834,A,A,4.37375,0,,47,59,Male,3,446
15.94,A,,2.80642,A,I,3.725,0,,49,62,Female,1,447
14.13,,10.0,2.50576,C,A,2.01375,1,64.0,56,99,Male,2,449
60.47,D,2.0,2.87655,C,A,2.6925,0,46.0,50,92,Female,2,458
46.92,D,10.0,2.83083,C,A,2.3325,1,85.0,48,64,Male,3,460
18.92,C,9.0,2.50679,A,B,2.43875,0,88.0,49,65,Male,2,462
24.73,B,9.0,,,A,1.325,0,74.0,50,75,Male,2,463
36.51,B,8.0,2.60567,B,B,2.84875,0,,58,72,Male,1,464
38.75,C,10.0,,,A,2.56375,1,54.0,47,67,Male,3,468
9.33,,3.0,3.06888,C,E,4.115,1,63.0,50,74,Male,3,471
47.17,B,7.0,,,A,1.7775,1,99.0,47,80,Male,2,473
45.75,D,0.0,3.1443,B,D,3.47625,1,89.0,55,82,Male,3,474
55.5,B,10.0,,,A,3.76875,0,41.0,49,68,Female,2,475
31.46,B,,3.04402,B,B,3.4125,0,,46,93,Male,2,476
32.47,A,9.0,2.81229,A,A,2.9,0,,49,74,Male,1,478
55.02,B,10.0,3.0701,B,A,2.22625,2,63.0,54,94,Male,2,479
18.59,A,10.0,2.75254,A,A,4.2125,1,,44,65,Female,1,480
58.11,D,10.0,2.6749,C,K,3.22125,1,,50,73,Male,3,481
23.7,B,10.0,2.54942,A,A,1.05125,2,71.0,53,78,Male,2,482
48.48,B,10.0,2.69537,B,B,3.1525,1,,51,75,Male,2,484
36.67,B,10.0,2.97368,A,B,3.02375,1,85.0,53,77,Male,1,485
75.77,A,10.0,2.81381,C,A,1.90875,0,,53,71,Male,1,487
82.86,A,,2.77164,B,A,1.4525,0,,52,83,Male,1,488
27.91,C,10.0,2.67591,A,B,1.55625,1,,49,69,Female,1,489
61.58,A,6.0,2.75313,A,B,1.57875,0,60.0,58,78,Female,1,491
62.35,C,0.0,2.74601,B,A,1.4875,1,,50,70,Female,2,492
32.18,,2.0,2.93373,C,A,3.24375,1,53.0,51,68,Male,1,497
54.33,A,10.0,3.14605,C,C,3.08875,1,76.0,56,92,Male,1,498
48.38,A,6.0,3.06016,C,A,3.37,1,89.0,59,90,Male,2,500
25.06,B,8.0,2.74586,A,B,3.79125,0,77.0,44,61,Male,1,502
73.35,B,3.0,2.99825,B,B,2.7425,0,37.0,54,82,Male,2,503
29.1,B,4.0,2.42259,A,A,2.33375,0,,44,57,Male,2,505
62.6,C,2.0,2.69705,B,A,3.6,0,,46,66,Male,3,506
43.63,A,7.0,2.69678,B,A,2.4075,0,,51,73,Male,1,508
41.4,A,10.0,2.50969,A,A,2.75375,0,,48,73,Male,1,509
29.2,,1.0,2.46982,A,A,3.915,0,,54,72,Male,2,511
20.72,,10.0,3.0381,C,A,3.4125,3,40.0,49,61,Female,2,513
93.24,A,1.0,2.99077,B,A,3.11125,2,44.0,47,70,Male,3,514
63.54,E,7.0,2.62875,B,A,1.89625,1,59.0,48,70,Male,3,515
24.64,D,6.0,,,F,2.98375,1,,52,69,Female,3,516
23.72,B,10.0,2.87812,B,B,1.80375,0,33.0,51,84,Male,2,517
12.65,A,6.0,2.80695,C,E,2.1075,4,,64,103,Male,3,518
37.02,C,8.0,3.03211,C,A,1.36,0,,50,65,Male,2,520
37.85,B,,,,B,2.4275,1,53.0,54,84,Female,2,521
30.84,B,1.0,2.90552,A,A,4.1325,0,106.0,53,67,Male,2,522
53.48,B,,2.60634,B,A,2.25875,1,,50,67,Male,1,524
44.04,B,2.0,3.03349,A,A,2.725,1,77.0,61,108,Male,2,526
21.94,,6.0,2.7364,C,A,3.03,1,45.0,61,81,Male,2,527
98.98,C,2.0,3.0449,B,B,3.45125,1,34.0,53,88,Female,2,530
55.3,E,6.0,2.90803,C,A,3.305,0,46.0,58,82,Male,3,531
54.2,A,10.0,2.99927,B,A,2.68125,1,43.0,54,104,Male,3,533
8.39,C,3.0,2.37444,A,B,1.925,0,,47,59,Male,2,535
91.98,B,0.0,2.94133,C,L,3.4,2,104.0,45,74,Male,3,538
37.4,A,10.0,2.81776,A,A,1.8175,1,,54,77,Male,1,540
26.51,E,1.0,2.37689,B,F,4.23125,0,49.0,58,83,Male,3,543
73.74,D,10.0,,,C,2.22125,5,,51,66,Male,3,545
91.6,,8.0,,,D,2.8825,1,56.0,48,76,Female,3,546
29.98,B,10.0,2.9007,A,B,1.58625,0,63.0,51,84,Male,2,547
108.31,D,3.0,3.29892,C,A,2.8175,0,76.0,57,86,Female,3,549
11.03,D,4.0,2.5786,B,H,4.42375,1,77.0,44,62,Male,2,550
25.71,B,10.0,2.49117,C,E,1.83,0,60.0,55,90,Male,1,551
103.92,A,7.0,3.174,B,M,4.815,0,,47,71,Male,1,552
60.02,A,0.0,3.17761,B,A,2.5125,1,,52,71,Female,1,553
21.48,B,6.0,2.51202,B,B,4.13625,0,87.0,44,65,Male,2,554
29.23,C,10.0,2.70913,C,C,1.90125,2,43.0,55,73,Male,3,555
31.86,B,2.0,2.57819,B,A,2.27625,0,56.0,52,79,Male,2,556
32.31,C,9.0,2.70304,C,A,2.63,0,60.0,47,77,Male,2,557
91.21,D,7.0,3.62894,C,E,4.40125,3,53.0,54,100,Male,3,558
26.85,,10.0,2.61444,B,A,1.85,1,109.0,52,71,Male,3,559
50.19,B,10.0,2.7843,B,A,2.005,0,,53,71,Female,2,560
30.65,A,10.0,2.79588,A,A,1.8625,0,34.0,49,85,Male,1,562
76.09,,10.0,,,A,3.0025,0,,51,68,Male,2,563
38.81,,,2.49798,B,B,3.155,0,,52,83,Male,1,564
18.28,B,6.0,2.79532,A,B,3.84875,1,37.0,49,71,Male,2,567
44.44,E,10.0,2.95816,A,A,4.68875,3,75.0,46,73,Male,3,572
15.77,C,0.0,2.38446,B,A,1.3875,2,59.0,47,70,Male,2,574
40.46,C,2.0,2.78268,C,A,3.7875,2,93.0,54,97,Male,2,576
52.0,C,3.0,2.56133,A,A,2.4825,0,104.0,48,74,Female,2,578
33.65,C,10.0,2.74418,A,A,4.665,0,,42,54,Male,2,580
38.31,,6.0,2.52182,C,B,2.32125,1,,54,72,Male,3,581
93.95,E,0.0,2.82445,B,A,1.7175,0,69.0,51,83,Male,3,583
37.82,C,1.0,3.10022,C,A,2.05125,0,,52,79,Male,3,584
19.01,C,2.0,2.46136,A,A,3.5675,1,62.0,43,61,Male,3,585
38.07,D,1.0,2.73462,C,A,2.65625,0,,46,58,Male,3,586
45.7,B,10.0,2.87119,C,A,2.53625,1,,52,75,Male,2,588
75.26,C,10.0,3.16395,C,A,3.3825,1,108.0,55,88,Female,2,591
35.21,A,5.0,3.24436,A,E,3.815,0,,55,86,Male,1,592
19.94,B,10.0,2.93239,A,C,4.015,0,89.0,48,66,Female,2,594
106.63,E,10.0,3.04063,C,A,3.8275,1,,57,82,Male,3,598
40.19,B,6.0,2.73775,B,B,3.35875,0,,56,91,Male,2,599
